category,url,title,ticket_price_gbp,draw_datetime,sales_end_datetime,tickets_available,tickets_sold,cash_alternative_gbp,odds_per_ticket,win_prob_for_10gbp,win_prob_for_20gbp,company_revenue_gbp
Cash,https://www.clickcompetitions.co.uk/competition/1000taxfreecash21st/,"Win £1,000 Tax Free Cash *LOW ODDS*",9.95,21st January 2026 @ 8:30 PM,21st Jan 2026 @ 8:00 PM,199,17,,0.005025125628140704,0.005025125628140704,0.010050251256281407,1980.05
Cash,https://www.clickcompetitions.co.uk/competition/1000taxfreecash24thjan/,"Win £1,000 Tax Free Cash *LOW ODDS COMP*",9.95,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",24th Jan 2026 @ 10:00 PM,199,1,,0.005025125628140704,0.005025125628140704,0.010050251256281407,1980.05
Cash,https://www.clickcompetitions.co.uk/competition/100k31stjan/,"Win £100,000 Tax Free Cash For Just 99p!",0.99,31st January 2026 @ 8:30 PM,31st Jan 2026 @ 8:15 PM,179995,15474,,5.555709880830023e-06,5.555709880830023e-05,0.00011111419761660046,178195.05
Cash,https://www.clickcompetitions.co.uk/competition/10kfor18pjan/,"Win £10,000 Tax Free Cash For 18p",0.18,21st January 2026 @ 8:30 PM,21st Jan 2026 @ 8:15 PM,85095,27268,,1.1751571772724602e-05,0.0006463364474998531,0.0013044244667724308,15317.099999999999
Cash,https://www.clickcompetitions.co.uk/competition/1500taxfreecash22ndjan/,"Win £1,500 Tax Free Cash *LOW ODDS*",3.25,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",22nd Jan 2026 @ 10:00 PM,749,40,,0.0013351134846461949,0.004005340453938585,0.00801068090787717,2434.25
Cash,https://www.clickcompetitions.co.uk/competition/1k10ptaxfreecash26th/,"Win £1,000 Tax Free Cash For 10p!",0.1,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",26th Jan 2026 @ 10:00 PM,19995,106,280.0,5.001250312578144e-05,0.005001250312578144,0.010002500625156289,1999.5
Cash,https://www.clickcompetitions.co.uk/competition/1kcash23rd/,"Win £1,000 Tax Free Cash For £3.25!",3.25,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",23rd Jan 2026 @ 10:00 PM,449,12,,0.0022271714922048997,0.0066815144766146995,0.013363028953229399,1459.25
Cash,https://www.clickcompetitions.co.uk/competition/1klowodds25thjan/,"Win £1,000 Tax Free Cash *LOW ODDS*",9.95,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",25th Jan 2026 @ 10:00 PM,199,0,400.0,0.005025125628140704,0.005025125628140704,0.010050251256281407,1980.05
Cash,https://www.clickcompetitions.co.uk/competition/1kmonday26th/,"Win £1,000 Tax Free Cash *LOW ODDS*",9.95,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",26th Jan 2026 @ 10:00 PM,199,0,400.0,0.005025125628140704,0.005025125628140704,0.010050251256281407,1980.05
Cash,https://www.clickcompetitions.co.uk/competition/1ktaxfreecash22nd/,"Win £1,000 Tax Free Cash For 10p!",0.1,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",22nd Jan 2026 @ 10:00 PM,19995,1170,,5.001250312578144e-05,0.005001250312578144,0.010002500625156289,1999.5
Cash,https://www.clickcompetitions.co.uk/competition/20k18p24th/,"Win £20,000 Tax Free Cash For 18p!",0.18,24th January 2026 @ 8:30 PM,24th Jan 2026 @ 8:15 PM,169995,2212,,5.8825259566457836e-06,0.0003235389276155181,0.000652960381187682,30599.1
Cash,https://www.clickcompetitions.co.uk/competition/2500cash8p23rd/,"Win £2,500 Tax Free Cash For 8p!",0.08,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",23rd Jan 2026 @ 10:00 PM,49995,832,,2.0002000200020003e-05,0.0025002500250025004,0.005000500050005001,3999.6
Cash,https://www.clickcompetitions.co.uk/competition/2500taxfreecash20th/,"Win £2,500 Tax Free Cash For 8p!",0.08,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",20th Jan 2026 @ 10:00 PM,49995,15782,,2.0002000200020003e-05,0.0025002500250025004,0.005000500050005001,3999.6
Cash,https://www.clickcompetitions.co.uk/competition/2500taxfreecash24th/,"Win £2,500 Tax Free Cash For 8p!",0.08,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",24th Jan 2026 @ 10:00 PM,49995,506,400.0,2.0002000200020003e-05,0.0025002500250025004,0.005000500050005001,3999.6
Cash,https://www.clickcompetitions.co.uk/competition/2500taxfreecash26thjan/,"Win £2,500 Tax Free Cash For 8p!",0.08,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",27th Jan 2026 @ 10:00 PM,49995,207,400.0,2.0002000200020003e-05,0.0025002500250025004,0.005000500050005001,3999.6
Cash,https://www.clickcompetitions.co.uk/competition/3k16p25th/,"Win £3,000 Tax Free Cash For 16p!",0.16,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",25th Jan 2026 @ 10:00 PM,37495,221,280.0,2.6670222696359516e-05,0.00165355380717429,0.0033337778370449394,5999.2
Cash,https://www.clickcompetitions.co.uk/competition/5k1ptaxfreecash26th/,"Win £5,000 Tax Free Cash For 1p!",0.01,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",26th Jan 2026 @ 10:00 PM,999995,14802,,1.000005000025e-06,0.0010000050000250002,0.0020000100000500004,9999.95
Cash,https://www.clickcompetitions.co.uk/competition/janmegawins/,"JANUARY MEGA WINS INSTANT WIN + £2,500 END PRIZE!",0.2,31st January 2026 @ 8:30 PM,31st Jan 2026 @ 8:00 PM,899995,202685,,1.111117283984911e-06,5.555586419924555e-05,0.0001111117283984911,179999.0
Cars,https://www.clickcompetitions.co.uk/competition/glc63s/,"Win This Mercedes GLC63S Premium AMG & £1,000 Cash *Premium Spec*",0.19,28th January 2026 @ 8:30 PM,28th Jan 2026 @ 8:15 PM,415995,9057,30000.0,2.403875046575079e-06,0.00012500150242190412,0.0002524068798903833,79039.05
Cars,https://www.clickcompetitions.co.uk/competition/greenfoxsurron/,Win This Brand New 2025 Sur-ron LBX Off Road Electric Bike *FREE UK WIDE DELIVERY*,0.04,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",24th Jan 2026 @ 10:00 PM,199995,19186,460.0,5.000125003125078e-06,0.0012500312507812696,0.0025000625015625393,7999.8
Cars,https://www.clickcompetitions.co.uk/competition/gtiorgtd/,"Win This MK8 VW Golf GTI or This MK8 VW Golf GTD & £1,000 Cash *YOU CHOOSE*",0.15,21st January 2026 @ 8:30 PM,21st Jan 2026 @ 8:15 PM,399995,102649,20000.0,2.50003125039063e-06,0.00016500206252578157,0.00033250415630195376,59999.25
Cars,https://www.clickcompetitions.co.uk/competition/m3g80/,"Win This BMW M3 Competition X-Drive G80 & £1,000 Cash *Isle Of Man Green*",0.33,24th January 2026 @ 8:30 PM,24th Jan 2026 @ 8:15 PM,289995,19758,40000.0,3.44833531612614e-06,0.0001034500594837842,0.0002069001189675684,95698.35
Tech,https://www.clickcompetitions.co.uk/competition/10ggoldbar21stjan/,Win This 10G Gold Bar *LOW ODDS*,3.99,21st January 2026 @ 8:30 PM,21st Jan 2026 @ 8:00 PM,499,198,850.0,0.002004008016032064,0.004008016032064128,0.01002004008016032,1991.0100000000002
Tech,https://www.clickcompetitions.co.uk/competition/1ggoldbar22nd/,Win This 1G Gold Bar!,0.99,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",22nd Jan 2026 @ 10:00 PM,299,40,,0.0033444816053511705,0.033444816053511704,0.06688963210702341,296.01
Tech,https://www.clickcompetitions.co.uk/competition/5ggoldbar20thjan/,Win This 5G Gold Bar!,0.99,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",20th Jan 2026 @ 10:00 PM,1099,229,440.0,0.0009099181073703367,0.009099181073703366,0.018198362147406732,1088.01
Tech,https://www.clickcompetitions.co.uk/competition/5ggoldbar27th/,Win This 5G Gold Bar!,0.99,"s on TUESDAYS, WEDNESDAYS & SATURDAYS, You can watch the draw LIVE on our Facebook page. All days in between are autodraws whereby the result publishes automatically at the close time or upon sell out, whichever comes first on the following link.",27th Jan 2026 @ 10:00 PM,1099,1,440.0,0.0009099181073703367,0.009099181073703366,0.018198362147406732,1088.01
Tech,https://www.clickcompetitions.co.uk/competition/bluedatejust/,Win This Blue Rolex Datejust,0.1,24th January 2026 @ 8:30 PM,24th Jan 2026 @ 8:15 PM,199995,9642,7000.0,5.000125003125078e-06,0.0005000125003125078,0.0010000250006250155,19999.5
